Truth,Pred
",",","
 , 
ž,Z
e,e
 , 
c,c
o,o
 , 
m,m
l,l
u,u
v,v
í,i
",",.
 , 
j,j
e,e
 , 
s,s
a,a
m,m
á,á
 , 
l,l
e,e
ž,ž
.,.
 , 
Z,Z
v,v
a,a
l,l
i,i
 ,<DEL>
h,h
o,o
 , 
Č,Č
e,e
k,k
u,u
n,n
o,o
v,v
.,.
 , 
P,P
a,a
t,t
r,m
n,é
ě,<DEL>
 , 
s,s
e,e
 , 
k,k
e,e
 , 
m,m
n,n
ě,ě
 , 
l,l
i,i
c,c
h,h
o,o
t,t
i,i
l,l
",",.
p,p
o,o
z,n
d,l
r,r
a,a
v,v
i,i
l,l
a,a
.,:
 , 
D,D
o,o
b,b
r,r
ý,ý
 , 
d,d
e,e
n,n
",",","
 , 
c,c
h,h
l,l
a,a
p,p
c,c
i,i
",",.
 , 
o,o
d,d
p,p
o,o
v,v
ě,ě
d,d
ě,ě
l,l
.,<DEL>
 , 
C,C
o,o
 , 
<INS>,r
m,n
á,á
t,ř
e,e
",",.
 , 
p,p
a,e
n,n
e,e
 , 
k,k
o,o
l,ř
e,e
g,r
o,o
?,?
 , 
Č,Č
e,e
š,á
t,t
i,i
n,n
u,<DEL>
.,.
 , 
U,U
s,s
p,p
o,o
ř,ř
á,á
d,d
a,a
l,h
i,<DEL>
 , 
j,s
s,a
m,r
e,e
 , 
s,s
i,i
 , 
r,r
e,e
c,v
i,i
t,t
a,s
č,č
n,n
í,í
 , 
h,h
o,o
d,d
i,r
n,a
k,k
u,n
.,.
 , 
C,C
h,l
v,r
i,a
l,l
k,i
u,<DEL>
 , 
s,s
i,i
 , 
p,p
o,o
s,s
l,l
e,e
c,c
h,h
n,n
u,u
.,<DEL>
 , 
M,M
ů,ů
ž,ž
e,e
t,t
e,e
 , 
p,p
o,o
k,k
r,r
a,e
č,č
o,o
v,v
a,a
t,t
.,<DEL>
 , 
P,P
a,a
v,v
e,e
l,l
 , 
K,K
o,o
v,v
á,á
ř,ř
 , 
s,s
e,e
 , 
p,p
o,o
n,n
ě,ě
k,k
u,u
d,d
 , 
z,ž
a,a
r,r
a,a
ž,l
e,e
n,n
 , 
p,p
o,o
d,d
í,í
v,v
a,a
l,l
 , 
n,n
a,a
 , 
u,u
č,č
i,i
t,t
e,e
l,l
e,e
",",:
 , 
p,p
a,e
k,k
 , 
<INS>, 
n,n
a,e
 , 
i,i
n,n
s,s
p,p
e,e
k,k
t,t
o,a
r,ř
a,n
.,.
 , 
B,B
y,y
l,l
o,o
“,""""
t,t
h,i
a,a
t,t
 , 
r,r
e,e
p,p
o,o
r,r
t,t
s,s
 , 
m,m
a,a
y,y
 , 
v,v
a,a
r,r
y,y
 , 
g,p
r,r
e,e
a,a
t,n
l,<DEL>
y,y
 ,v
w,<DEL>
i,i
t,t
h,h
 , 
r,r
e,e
s,s
p,p
e,e
c,c
t,t
 , 
t,t
o,o
<INS>,","
 , 
m,m
e,e
;,<DEL>
 , 
a,<DEL>
n,n
d,d
 , 
I,<DEL>
 ,<DEL>
c,c
o,o
u,n
l,l
d,d
 , 
w,w
i,i
s,c
h,h
",",.
 , 
M,M
i,i
s,s
s,:
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",<DEL>
 , 
t,t
h,h
a,a
t,t
 , 
y,y
o,o
u,u
<INS>,.
 , 
<INS>,s
w,y
e,e
r,t
e,e
 , 
n,t
o,o
t,t
 , 
t,t
o,o
 , 
s,s
k,k
e,o
t,r
c,<DEL>
h,<DEL>
 , 
m,m
y,y
 , 
c,c
h,h
a,a
r,r
a,a
c,c
t,t
e,e
r,r
 ,<DEL>
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
r,r
e,e
s,s
e,e
n,n
t,t
 , 
m,m
o,o
m,m
e,e
n,n
t,t
",",.
 , 
a,a
s,s
 , 
t,t
h,h
e,e
r,r
e,e
 , 
i,1
s,<DEL>
 , 
r,S
e,e
a,n
s,s
o,o
n,r
 , 
t,t
o,o
 ,.
f,t
e,e
a,i
r,z
 , 
t,t
h,h
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
e,e
r,r
f,f
o,o
r,<DEL>
m,m
a,a
n,n
c,c
e,e
 , 
w,w
o,o
u,n
l,l
d,d
 , 
r,r
e,e
f,f
l,l
e,e
c,c
t,t
 , 
n,H
o,o
 , 
c,e
r,x
e,é
d,c
i,i
t,t
 , 
o,o
n,n
 , 
e,e
i,n
t,t
h,<DEL>
e,e
r,r
.,<DEL>
”,<DEL>
v,v
t,t
r,r
h,h
l,l
 , 
d,d
o,o
 , 
t,t
r,r
e,e
s,s
t,t
n,n
i,í
c,c
e,e
 , 
n,n
 , 
i,i
 , 
v,w
 , 
n,m
o,o
c,c
i,i
",",","
 , 
a,a
 , 
z,z
p,p
o,o
z,z
o,o
r,r
o,o
v,v
 , 
l,l
i,i
",",","
 , 
ž,ž
e,e
 , 
t,t
r,r
e,e
s,s
t,t
a,a
n,n
e,e
c,c
 , 
s,s
p,p
í,í
 , 
l,l
e,e
v,v
é,é
m,m
 , 
b,b
o,o
k,k
u,u
",",","
 , 
n,n
e,e
b,b
o,o
 , 
n,n
a,a
z,z
 , 
d,d
a,a
l,l
 ,c
h,h
o,o
 ,c
r,r
á,á
n,n
o,o
 , 
p,p
o,o
t,t
r,r
e,e
s,s
t,t
a,á
 , 
A,A
ť,ť
",",","
 , 
p,p
r,r
ý,ý
",",","
 , 
s,s
p,p
í,í
 , 
n,n
a,a
 , 
p,p
r,r
a,a
v,v
 , 
b,b
o,o
k,k
u,u
",",","
 , 
j,j
a,a
k,k
 , 
p,p
ř,ř
i,i
k,k
á,á
z,z
a,a
l,l
.,.
 , 
 , 
t,t
r,r
e,e
s,s
t,t
n,n
i,i
c,c
i,i
 , 
h,h
o,o
 , 
n,n
e,e
n,n
á,á
v,v
i,i
d,d
 , 
b,b
á,á
l,l
i,i
 , 
s,s
e,e
 , 
h,h
o,o
",",","
 , 
j,j
a,a
k,k
o,o
 , 
m,m
o,o
r,r
 , 
O,O
b,b
l,l
i,i
č,ó
e,e
j,j
 , 
m,m
ě,ě
l,l
 , 
r,r
u,u
d,d
ý,ý
",",","
n,m
e,e
v,v
y,y
d,d
r,r
ž,ž
e,e
l,l
i,i
.,<DEL>
 , 
T,T
a,a
k,k
ý,ý
m,m
 , 
z,z
p,p
ů,ů
s,s
o,o
b,b
e,e
m,m
 , 
p,p
ř,ř
i,i
n,n
á,á
š,š
e,e
l,l
i,i
 , 
t,t
a,a
b,b
á,á
k,k
",",","
 , 
c,c
i,i
h,h
l,l
o,o
v,v
ý,ý
 , 
č,č
a,a
j,j
",",","
 , 
m,m
a,a
s,s
o,o
",",","
 , 
p,p
r,r
e,e
c,c
l,l
í,i
k,k
y,y
 , 
a,a
 , 
j,j
i,m
n,<DEL>
é,é
 , 
a,a
 , 
j,j
i,i
n,n
é,é
",",","
 , 
v,v
y,y
j,j
m,m
a,a
 , 
s,s
n,n
a,a
d,d
 , 
j,j
e,e
n,n
 , 
v,v
o,o
d,d
k,k
u,u
.,.
 , 
V,V
o,o
d,d
k,k
y,y
 , 
n,n
a,a
 , 
n,n
i,i
c,c
h,h
 , 
n,n
e,e
ž,ž
á,á
d,d
a,a
l,l
i,i
",",","
 , 
a,a
č,<DEL>
 , 
j,j
e,e
 , 
č,č
a,a
s,s
e,e
m,m
 , 
v,v
o,o
d,d
k,k
o,o
u,u
 , 
u,u
c,c
t,t
í,i
v,v
a,a
l,l
i,i
 , 
O,O
s,s
i,i
p,p
 , 
m,m
n,n
ě,ě
 , 
u,u
p,p
r,r
a,a
v,v
o,o
v,v
a,a
l,l
 , 
p,p
o,o
 , 
n,n
ě,ě
k,k
o,o
l,l
i,i
k,k
 , 
l,l
e,e
t,t
 , 
s,s
t,t
á,á
l,l
e,e
 , 
j,j
e,e
d,d
n,n
o,o
 , 
a,a
 , 
t,t
o,o
t,t
é,é
ž,ž
",",.
n,n
e,e
z,z
a,a
p,p
o,o
m,m
í,í
n,n
a,a
l,l
 , 
a,a
n,n
i,i
 , 
n,n
y,y
n,n
í,í
.,.
 , 
P,P
ř,ř
i,i
b,b
ě,ě
h,h
n,n
e,e
",",","
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
u,u
 , 
m,m
é,é
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
y,y
",",","
 , 
k,k
r,r
á,á
č,č
í,í
 , 
m,m
l,l
 , 
v,v
e,e
d,d
l,l
e,e
 , 
m,m
n,n
e,e
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
s,s
 , 
s,s
á,á
m,m
 , 
u,u
 , 
s,s
e,e
b,b
e,e
 , 
n,n
ě,ě
č,č
e,e
m,m
u,u
 , 
d,d
 , 
V,V
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
á,á
c,c
h,h
 , 
j,j
s,s
e,e
m,m
 , 
s,s
 , 
l,l
o,o
u,u
č,č
i,i
l,l
 , 
s,s
 , 
t,t
ě,ě
m,m
i,i
 , 
z,z
č,č
e,e
r,r
n,n
a,a
l,l
ý,ý
 , 
b,b
ř,ř
e,e
v,v
n,n
o,o
v,v
ý,ý
m,m
i,i
 , 
s,s
r,r
u,u
b,b
y,y
 , 
n,n
a,a
š,š
r,r
<INS>,r
<INS>,t
<INS>,a
o,r
z,a
d, 
ě,:
l, 
e,f
n,a
á,t
 , 
p,a
r,f
o,o
<INS>,t
<INS>,f
<INS>,a
<INS>,l
<INS>,f
<INS>,o
<INS>,l
<INS>,?
 , 
<INS>,<
d, 
v,e
ě,t
 , 
s,J
k,e
u,T
p,Y
i,J
n,e
y,T
.,Y
 , 
<INS>,E
<INS>,T
<INS>,V
D, 
á,E
l,T
e,V
 , 
j,j
e,e
š,t
t, 
ě,V
 , 
j,j
e,e
<INS>, 
<INS>,a
<INS>,s
d,t
n,t
o,e
 , 
<INS>,a
s,s
t,t
<INS>,i
<INS>,e
<INS>, 
a,a
v,s
e,r
n,<DEL>
í,í
",",r
 , 
k,n
d,e
e,r
 , 
j,a
s,s
<INS>,t
o,t
u,=
 , 
p,a
o,s
d,t
 , 
s,t
p,p
<INS>,b
o,o
l,r
e,i
č,s
n,:
o,o
u,t
 ,p
s,¥
t,o
ř,n
e,p
c,i
h,b
o,o
<INS>,n
u,b
 ,i
u,S
m,e
í,r
s,s
<INS>,:
<INS>, 
<INS>,2
t,2
ě,-
n,1
y,4
 , 
<INS>,i
<INS>,o
s,n
k, 
l,c
e,t
p,i
y,o
",",n
 , 
s,s
<INS>,h
<INS>,o
ý,w
p, 
k,s
y,h
 ,o
a,n
 , 
k,s
ů,h
l,i
n,o
y,w
.,s
 ,h
P,o
r,r
o, 
s,s
t,i
ř,o
e,v
d,s
e,t
k,i
 , 
d,t
v,<DEL>
o,o
r,l
a,a
 ,s
j,i
e,o
 , 
p,L
r,e
á,o
z,<DEL>
d,<DEL>
n,<DEL>
ý,<DEL>
 , 
a,t
 ,e
t,t
v,<DEL>
o,o
ř,<DEL>
í,<DEL>
 , 
r,L
o,e
v,<DEL>
n,n
é,o
",",<DEL>
 , 
d,L
o,i
s,s
t,t
i,e
 , 
r,L
o,.
z,.
s, 
á,-
h, 
l,i
é,m
 , 
p,s
r,n
o,o
s,n
t,E
r,a
a,T
n,","
s,E
t,M
v,O
í, 
.,a
 , 
<INS>,1
Z,6
d,2
e,:
 , 
s,W
e,e
<INS>,n
 ,o
t,t
<INS>,e
<INS>,n
<INS>,d
r,z
e,e
<INS>,t
<INS>,o
<INS>, 
s,h
t,e
a,a
n,d
c, 
i,|
 , 
s,3
t, 
a,c
v,h
í,m
 , 
<INS>,e
d,k
o,o
 , 
<INS>,e
<INS>,t
<INS>,o
ř,r
a,t
d,d
<INS>, 
<INS>,s
",",ů
m,m
a,a
k,k
i,i
n,n
g,g
 , 
g,g
e,e
n,n
t,t
l,l
e,e
m,m
a,a
n,n
",",","
”,”
 , 
s,s
a,a
i,i
d,d
 , 
M,M
r,r
.,.
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",","
 , 
a,a
s,s
 , 
h,h
e,e
 , 
f,f
o,o
l,l
d,d
e,e
d,d
 , 
u,u
p,p
 , 
t,t
h,h
e,e
 , 
l,l
e,e
t,t
t,t
e,e
r,r
.,","
 , 
“,“
H,H
e,e
 , 
s,s
e,e
e,e
m,m
s,s
 , 
<INS>, 
t,t
o,o
 , 
b,b
e,e
 , 
a,a
 , 
m,m
o,o
s,s
t,t
 , 
<INS>, 
c,c
o,o
n,n
s,s
c,c
i,i
e,e
n,n
t,t
i,i
o,o
u,u
s,s
 , 
a,a
n,n
d,d
 , 
p,p
o,o
l,l
i,i
t,t
e,e
 , 
y,y
o,o
u,u
n,n
g,g
 , 
m,m
a,a
n,n
",",","
 , 
u,u
p,p
o,o
n,n
 , 
m,m
y,y
 , 
w,w
o,o
r,r
d,d
;,;
 , 
a,a
n,n
d,d
",",","
 , 
I,I
 , 
d,d
o,o
u,u
b,b
t,t
 , 
n,n
o,o
t,t
",",","
 , 
w,w
i,i
l,l
l,l
 , 
<INS>, 
p,p
r,r
o,o
v,v
e,e
 , 
a,a
 , 
v,v
a,a
l,l
u,u
a,a
b,b
l,l
e,e
 , 
a,a
c,c
q,q
u,u
a,a
i,i
n,n
t,t
a,a
n,n
c,c
e,e
",",","
 , 
e,e
s,s
p,p
e,e
c,c
i,i
a,a
l,l
l,l
y,y
<INS>, 
 , 
i,i
f,f
 , 
L,L
a,a
d,d
y,y
 , 
C,C
a,a
t,t
h,h
e,e
r,r
i,i
n,n
e,e
 , 
s,s
h,h
o,o
u,u
l,l
d,d
t,t
e,e
b,b
e,e
 , 
s,s
t,ť
r,r
e,e
j,j
č,č
e,e
k,k
.,.
"""",“
 , 
„,.
E,E
h,h
",",","
 , 
 ,v
t,<DEL>
ě,ě
 , 
č,č
e,e
r,r
t,t
 , 
i,i
 , 
s,s
e,e
 , 
s,s
t,t
r,r
e,e
j,j
č,č
k,k
e,e
 , 
n,n
e,e
s,s
t,t
o,o
j,j
í,í
 , 
z,r
a,a
 , 
t,t
o,o
",",","
 , 
s,s
 , 
t,t
e,e
b,b
o,o
 , 
m,m
l,l
u,u
v,v
i,i
t,t
!,l
 , 
A,A
 , 
v,v
i,i
d,d
í,i
š,š
",",","
 , 
t,t
a,a
k,k
o,o
 , 
h,h
e,e
z,z
k,k
é,é
 , 
s,s
l,l
o,o
v,v
í,í
č,č
k,k
o,o
 , 
j,j
s,s
e,e
m,m
 , 
t,t
 , 
c,c
h,h
t,t
ě,ě
l,l
 , 
p,p
o,o
v,v
ě,ě
d,d
i,i
t,t
.,.
 , 
T,f
a,a
k,k
 , 
v,v
i,i
 , 
t,t
e,e
d,d
y,y
",",","
 , 
b,b
r,r
a,a
š,š
i,i
",",","
 , 
j,j
a,a
k,k
 , 
s,s
e,e
 , 
t,t
 , 
p,p
ř,ě
i,i
h,h
o,o
d,d
i,i
l,l
o,o
",",","
 , 
ž,ž
e,e
 , 
j,j
s,a
e,e
m,m
 , 
s,s
e,e
 , 
k,k
r,r
á,á
t,t
c,c
e,e
 , 
z,z
d,d
r,r
ž,i
e,e
l,l
 , 
v,v
 , 
M,%
o,o
s,s
k,k
v,v
 , 
D,D
a,a
l,l
i,i
 , 
m,m
n,n
ě,ě
 , 
n,n
a,a
p,p
o,o
s,s
l,l
e,e
d,d
 , 
p,p
a,a
t,t
“,""""
T,T
h,h
a,a
n,n
k,k
 , 
y,y
o,o
u,u
",",","
”,”
 , 
s,s
a,a
i,i
d,d
 , 
L,L
y,y
d,d
i,i
a,a
;,<DEL>
 , 
“,“
f,f
o,o
r,r
 , 
i,i
f,f
 , 
y,y
o,o
u,u
 , 
d,d
i,i
d,d
",",<DEL>
 , 
I,|
 , 
s,s
h,h
o,o
u,u
l,l
d,d
 , 
c,c
e,e
r,r
t,t
a,a
i,<DEL>
n,n
l,l
y,y
 , 
t,t
e,e
l,l
l,l
 , 
y,y
o,o
u,u
 , 
a,a
<INS>,i
l,l
l, 
",",>
 , 
a,a
n,n
d,d
 , 
t,t
h,h
e,e
n,a
 , 
W,W
i,i
c,c
k,k
h,h
a,a
m,m
 , 
w,w
o,o
u,u
l,<DEL>
d,d
 , 
<INS>,t
b,i
e,e
 , 
s,s
o,o
 , 
a,a
n,n
g,g
r,r
y,y
.,""""
”,<DEL>
 , 
O,O
n,n
 , 
s,s
u,u
c,c
h,h
 , 
e,e
n,n
c,c
o,o
u,u
r,r
a,a
g,g
e,e
m,m
e,e
n,n
t,t
 , 
t,l
o,o
 , 
a,a
s,s
k,k
",",","
 , 
E,E
l,i
i,r
z,z
a,a
b,b
e,e
t,t
h,h
 , 
w,w
a,a
s,s
 , 
f,f
o,o
r,r
c,c
e,e
d,d
 , 
t,l
o,o
 , 
p,p
u,u
t,t
 , 
i,i
t,<DEL>
 , 
o,o
u,u
t,l
 , 
o,o
f,f
 , 
h,h
e,e
r,r
 , 
p,p
o,o
w,w
e,e
r,r
",",","
 , 
b,b
y,y
 , 
r,r
u,u
n,n
n,n
i,i
n,n
g,g
 , 
a,a
w,w
a,a
y,y
.,<DEL>
 , 
B,B
u,u
t,t
 , 
t,l
o,o
 , 
l,I
i,<DEL>
v,<DEL>
e,e
 , 
i,i
n,n
 , 
i,i
g,g
n,n
o,o
r,r
a,a
n,n
c,c
e,e
 , 
o,o
n,n
 , 
s,s
u,u
c,c
h,h
k,K
r,o
á,á
č,č
í,i
m,m
e,e
!,l
 , 
L,L
i,i
d,n
é,é
 , 
s,s
e,e
 , 
d,o
í,'
v,v
a,a
j,t
í,l
 , 
<INS>, 
<INS>,(
n,n
a,ě
 , 
n,n
á,á
s,s
 , 
s,s
e,e
 , 
z,z
á,á
l,n
i,<DEL>
b,b
o,o
u,v
;,<DEL>
 , 
j,J
á,á
 ,v
b,<DEL>
y,y
l,<DEL>
 , 
c,e
h,m
l,i
a,a
p,p
í,í
k,k
",",.
 , 
a,a
 , 
A,o
k,m
u,<DEL>
l,l
i,i
n,n
u,u
š,d
k,r
u,<DEL>
",",<DEL>
 , 
t,t
ř,f
e,e
b,t
a,a
s,s
 , 
s,s
e,e
 , 
n,m
e,a
m,m
o,a
h,r
l,i
a,a
 , 
v,w
y,y
n,n
á,á
š,d
e,e
t,n
i,<DEL>
 , 
p,p
ř,ř
e,e
d,a
 , 
j,<DEL>
i,i
n,n
ý,p
m, 
i,w
",",e
 , 
a,a
l,r
e,e
 ,<DEL>
h,<DEL>
a,<DEL>
n,n
ě,<DEL>
t,<DEL>
i,<DEL>
 , 
t,t
a,a
k,n
é,g
 , 
n,n
e,e
b,h
y,y
l,l
o,o
 , 
m,m
o,o
ž,ž
n,n
o,o
;,.
 , 
b,v
y,ě
l,<DEL>
a,<DEL>
 , 
t,t
a,a
k,h
 , 
p,o
r,r
o,o
s,n
t,t
ř,ř
e,e
d,ů
n, 
í,<DEL>
",",<DEL>
 , 
j,d
a,u
k,r
ý,<DEL>
c,c
h,h
 , 
j,j
d,o
e,e
 , 
d,d
v,v
a,a
n,n
á,á
c,c
t,í
 , 
n,n
a,a
 , 
t,‘
u,T
c,o
e,e
t,t
 , 
.,_
., 
.,*
"""",<DEL>
 , 
„,<DEL>
A,A
 , 
t,<DEL>
o,o
 ,<DEL>
j,j
e,e
 , 
p,p
r,r
á,á
v,v
ě,ě
 , 
d,d
o,o
b,b
ř,t
e,e
., 
"""",*
 , 
„,„
T,f
a,a
k,t
 , 
t,l
e,e
d,d
y,y
m,m
a,a
t,t
t,t
e,e
r,r
 , 
o,o
f,f
 , 
c,c
h,h
a,a
n,n
c,c
e,e
.,.
 , 
I,I
f,f
 , 
t,t
 , 
d,d
i,i
s,s
p,p
o,o
s,š
i,i
t,t
i,i
o,o
n,n
s,s
 , 
o,o
f,f
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
i,i
e,e
s,s
 , 
a,a
r,r
e,e
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
 ,<DEL>
k,k
n,n
o,o
w,w
n,n
 , 
t,t
o,o
 , 
e,e
a,a
c,c
h,h
 , 
o,o
t,t
h,h
e,e
r,r
",",","
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
s,s
i,i
m,m
i,i
l,l
a,a
r,r
 , 
b,b
e,e
f,f
o,o
r,r
e,e
h,h
a,a
n,n
d,d
",",","
 , 
i,i
t,t
 , 
d,d
o,o
e,e
s,s
 ,<DEL>
 , 
a,a
d,d
v,v
a,a
n,n
c,c
e,e
 , 
t,t
h,h
e,e
i,i
r,r
 , 
f,f
e,e
l,l
i,i
c,c
i,i
t,t
y,y
d,d
o,o
m,m
ě,e
 , 
m,m
ě,e
š,š
ť,ť
a,a
n,n
o,o
v,v
ě,ě
",",","
 , 
a,a
ž,ž
 , 
B,B
ů,ů
h,h
 , 
b,b
r,r
á,á
n,n
í,í
;,;
 , 
s,s
 , 
d,d
c,c
e,e
r,r
o,o
u,u
 , 
s,s
p,p
í,í
",",","
 , 
h,h
o,o
s,s
p,p
o,o
d,d
á,á
ř,ř
e,e
 , 
z,z
a,a
 , 
b,b
r,r
a,a
d,d
u,u
 , 
k,k
a,a
ž,ž
d,d
 , 
d,d
e,e
n,n
 , 
p,p
o,o
 , 
o,o
b,b
ě,ě
d,d
ě,ě
 , 
t,t
a,a
h,h
á,á
 , 
—,—
 , 
v,v
š,š
e,e
 , 
t,t
o,o
 , 
č,č
i,i
n,n
í,í
 , 
p,p
r,r
o,o
 , 
s,s
v,v
é,é
 , 
v,v
y,y
r,r
a,a
ž,z
e,é
n,n
í,i
.,.
 , 
K,K
a,a
ž,ž
d,d
ý,ý
 , 
d,d
e,e
n,n
 , 
a,a
b,b
y,y
 , 
m,m
u,u
 , 
t,t
o,o
p,p
i,i
l,l
i,i
 , 
l,l
á,á
z,z
e,e
ň,ň
",",","
 , 
a,a
 , 
a,a
b,b
y,y
 , 
p,p
á,á
r,r
y,y
 , 
p,p
ř,ř
i,i
b,b
y,y
l,l
o,o
",",","
 , 
m,m
í,í
s,s
t,t
o,o
 , 
v,v
o,o
d,d
y,y
 , 
m,m
u,u
s,s
í,í
 , 
k,k
o,o
ř,ř
a,a
l,l
k,k
u,u
 , 
l,l
í,í
t,t
i,i
 , 
n,n
a,a
 , 
ž,ž
h,h
a,a
v,v
ý,ý
v,v
ě,ě
š,s
á,á
k,l
u,u
 ,<DEL>
u,u
 , 
d,d
v,v
e,é
ř,h
í,<DEL>
.,<DEL>
 , 
T,T
a,a
m,m
 , 
<INS>, 
v,v
i,i
s,s
e,é
l,l
y,y
 , 
o,o
p,p
a,á
s,s
k,k
y,y
 , 
s,s
e,e
 , 
s,s
u,u
m,m
k,i
a,a
m,m
i,i
.,<DEL>
 , 
T,T
o,o
n,n
d,d
a,a
 , 
h,h
b,b
i,i
t,t
ě,ě
 , 
p,p
ř,n
i,s
s,l
k,'
o,o
č,č
i,i
l,l
 , 
a,a
 , 
n,n
a,a
h,h
á,a
z,z
e,e
l,l
 , 
j,j
e,e
 , 
d,d
o,o
 , 
c,c
h,h
l,i
e,é
b,b
n,n
í,i
k,i
u,u
.,<DEL>
 , 
T,T
u,u
 , 
j,j
e,e
 , 
m,m
o,o
c,c
 , 
p,p
a,a
r,r
t,t
y,y
z,z
á,á
n,n
ů,ů
",",<DEL>
 , 
ř,t
e,e
k,l
l,l
 , 
j,j
e,e
š,s
t,t
ě,é
 , 
S,S
l,l
á,á
v,v
e,e
k,l
 , 
k,k
 , 
<INS>,K
M,l
a,á
ď,d
a,á
r,r
ů,ů
m,m
 , 
a,a
 , 
n,n
a,á
z,z
n,n
a,á
č,č
i,i
l,l
 , 
r,r
u,u
<INS>,i
k,r
o,o
u,u
",",<DEL>
 , 
j,j
a,a
k,l
o,o
 , 
b,b
y,y
 , 
v,v
 , 
c,o
e,e
l,l
é,é
m,m
 , 
o,o
<INS>,l
k,r
o,ó
l,l
í,i
 , 
b,b
y,y
l,l
i,i
 , 
s,s
a,a
m,m
í,i
 , 
p,p
a,a
r,t
t,t
y,y
z,z
á,a
n,n
i,i
.,<DEL>
 , 
D,D
a,a
l,l
 , 
p,p
r,r
s,s
t,t
 , 
n,n
a,a
 , 
<INS>, 
ú,u
s,s
t,t
a,a
 , 
a,a
 , 
d,d
o,o
d,d
a,a
l,l
:,<DEL>
 , 
V,V
y,y
 , 
b,b
u,u
d,d
e,e
t,t
e,e
s,s
a,a
k,k
e,e
 , 
t,t
h,h
a,a
t,t
 , 
h,h
i,i
s,s
 , 
m,m
a,a
n,n
n,n
e,e
r,r
s,s
 , 
a,a
r,r
e,e
 , 
t,t
h,h
u,u
s,s
 , 
s,s
o,o
f,f
t,t
e,e
n,n
e,e
d,d
.,<DEL>
 , 
M,M
y,y
 , 
r,r
e,e
p,p
r,r
o,o
o,o
f,f
s,s
 , 
a,a
t,t
 , 
H,H
u,u
n,n
s,s
f,f
o,o
r,r
d,d
 , 
c,c
o,o
u,u
l,l
d,d
 , 
n,n
o,o
t,t
 , 
w,w
o,o
r,r
k,k
 , 
s,s
<INS>,t
u,i
c,c
h,h
 , 
a,a
 , 
c,c
h,h
a,a
n,n
g,g
e,e
 , 
a,a
s,s
 , 
t,t
h,h
i,i
s,s
.,.
 , 
I,I
t,t
 , 
i,i
s,s
 , 
i,i
m,m
p,p
o,o
