Truth,Pred
p,p
s,s
á,á
n,n
o,o
",",","
 , 
ž,ž
e,e
 , 
c,<DEL>
o,<DEL>
 ,<DEL>
m,m
l,l
u,u
v,v
í,i
",",","
 , 
j,j
e,e
 , 
s,s
a,a
m,m
á,á
 , 
l,l
e,e
ž,ž
.,<DEL>
 , 
Z,Z
v,v
a,a
l,l
i,i
 , 
h,h
o,o
 , 
Č,Č
e,e
k,k
u,u
n,n
o,o
v,v
.,.
 , 
P,P
a,a
t,t
r,r
n,n
ě,ě
 , 
s,s
e,e
 , 
k,k
e,e
 , 
m,m
n,n
ě,ě
 , 
l,l
i,i
c,c
h,h
o,o
t,t
i,i
l,l
",",","
<INS>, 
<INS>,p
<INS>,o
<INS>,č
<INS>,a
<INS>,l
<INS>,_
p,p
o,o
z,z
d,d
r,r
a,a
v,v
i,i
l,l
a,a
.,.
 , 
D,D
o,o
b,b
r,r
ý,ý
 , 
d,d
e,e
n,n
",",","
 , 
c,c
h,h
l,l
a,a
p,p
c,c
i,i
",",","
 , 
o,o
d,d
p,p
o,o
v,v
ě,ě
d,d
ě,ě
l,l
.,<DEL>
 , 
C,C
o,o
 , 
m,m
á,á
t,t
e,e
",",","
 , 
p,p
a,a
n,n
e,e
 , 
k,k
o,o
l,l
e,e
g,g
o,o
?,?
 , 
Č,Č
e,e
š,š
t,t
i,i
n,n
u,u
.,.
 , 
U,U
s,s
p,p
o,o
ř,ř
á,á
d,d
a,a
l,l
i,i
 , 
j,j
s,s
m,m
e,e
 , 
s,s
i,i
 ,<DEL>
r,r
e,e
c,c
i,i
t,t
a,a
č,č
n,n
í,í
 , 
h,h
o,o
d,d
i,i
n,n
k,k
u,u
.,.
 , 
C,C
h,h
v,v
i,i
l,l
k,k
u,u
 , 
s,s
i,i
 , 
p,p
o,o
s,s
l,l
e,e
c,c
h,h
n,n
u,u
.,.
 , 
M,M
ů,ů
ž,ž
e,e
t,t
e,e
 , 
p,p
o,o
k,k
r,r
a,a
č,č
o,o
v,v
a,a
t,t
.,.
 , 
P,P
a,a
v,v
e,e
l,l
 , 
K,K
o,o
v,v
á,á
ř,ř
 , 
s,s
e,e
 , 
p,p
o,o
n,n
ě,ě
k,k
u,u
d,d
 , 
z,z
a,a
r,r
a,a
ž,ž
e,e
n,n
 , 
p,p
o,o
d,d
í,í
v,v
a,a
l,l
 , 
n,n
a,a
 , 
u,u
č,č
i,i
t,t
e,e
l,l
e,e
",",;
 , 
p,<DEL>
a,<DEL>
k,<DEL>
 ,<DEL>
n,n
a,a
 , 
i,i
n,n
s,s
p,p
e,e
k,k
t,t
o,o
r,r
a,a
.,.
 , 
B,B
y,y
l,l
o,o
<INS>, 
<INS>,p
<INS>,a
<INS>,k
“,<DEL>
t,t
h,h
a,a
t,t
 , 
r,r
e,e
p,p
o,o
r,i
t,t
s,s
 , 
m,m
a,a
y,y
 , 
v,v
a,a
r,r
y,y
 , 
g,g
r,r
e,e
a,a
t,t
l,l
y,y
 , 
w,w
i,i
t,t
h,h
 , 
r,r
e,e
s,s
p,p
e,e
c,c
t,t
 , 
t,t
o,o
 , 
m,m
e,e
;,:
 , 
a,a
n,n
d,d
 ,_
I,<DEL>
 , 
c,c
o,o
u,u
l,l
d,d
 , 
w,w
i,i
s,s
h,h
",",","
 , 
M,M
i,i
s,s
s,s
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",<DEL>
 , 
t,t
h,h
a,a
t,t
 , 
y,y
o,o
u,u
 , 
w,w
e,e
r,r
e,e
 , 
n,n
o,o
t,t
 , 
t,t
o,o
 , 
s,s
k,k
e,e
t,t
c,c
h,h
 , 
m,m
y,y
 , 
c,c
h,h
a,a
r,r
a,a
c,c
t,t
e,e
r,r
 , 
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
r,r
e,e
s,s
e,e
n,n
t,t
 , 
m,m
o,o
m,m
e,e
n,n
t,t
",",","
 , 
a,a
s,s
 , 
t,t
h,h
e,e
r,r
e,e
 , 
i,1
s,5
 , 
r,r
e,e
a,a
s,s
o,o
n,n
 , 
t,t
o,o
 , 
f,f
e,e
a,a
r,r
 , 
t,t
h,h
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
e,e
r,r
f,f
o,o
r,n
m,<DEL>
a,a
n,n
c,c
e,e
 , 
w,v
o,o
u,u
l,l
d,d
 , 
r,r
e,e
f,f
l,l
e,e
c,c
t,t
 , 
n,n
o,o
 , 
c,c
r,r
e,e
d,d
i,i
t,<DEL>
 , 
o,o
n,n
 , 
e,e
i,<DEL>
t,t
h,h
e,e
r,r
.,<DEL>
”,<DEL>
v,v
t,t
r,r
h,h
l,l
 , 
d,d
o,o
 , 
t,t
r,r
e,e
s,s
t,t
n,n
i,i
c,c
e,e
 , 
n,n
 ,<DEL>
i,<DEL>
 ,<DEL>
v,<DEL>
 ,<DEL>
n,<DEL>
o,o
c,c
i,i
",",<DEL>
 , 
a,<DEL>
 ,<DEL>
z,z
p,p
o,o
z,z
o,o
r,r
o,o
v,v
 , 
l,l
i,i
",",<DEL>
 , 
ž,ž
e,e
 , 
t,t
r,r
e,e
s,s
t,t
a,a
n,n
e,e
c,c
 , 
s,s
p,p
í,í
 , 
l,l
e,e
v,v
é,é
m,m
 , 
b,b
o,o
k,k
u,u
",",<DEL>
 , 
n,n
e,e
b,b
o,o
 , 
n,n
a,a
z,z
 , 
d,d
a,a
l,<DEL>
 , 
h,h
o,o
 , 
r,r
á,á
n,n
o,o
 , 
p,p
o,o
t,t
r,r
e,e
s,s
t,t
a,a
 , 
A,A
ť,t
",",<DEL>
 , 
p,p
r,r
ý,Ý
",",","
 , 
s,s
p,p
í,i
 , 
n,n
a,a
 , 
p,p
r,r
a,a
v,v
 , 
b,b
o,o
k,k
u,u
",",<DEL>
 , 
j,j
a,a
k,k
 , 
p,p
ř,ř
i,i
k,k
á,á
z,z
a,a
l,l
.,-
 , 
 ,<DEL>
t,t
r,r
e,e
s,s
t,t
n,n
i,i
c,c
i,i
 , 
h,h
o,o
 , 
n,n
e,e
n,n
á,á
v,v
i,i
d,d
 , 
b,b
á,á
l,l
i,i
 , 
s,s
e,e
 , 
h,h
o,o
",",<DEL>
 , 
j,j
a,a
k,k
o,o
 , 
m,m
o,o
r,r
 , 
O,O
b,b
l,l
i,i
č,<DEL>
e,<DEL>
j,<DEL>
 , 
m,m
ě,ě
l,l
 , 
r,r
u,u
d,d
ý,ý
<INS>, 
<INS>,č
<INS>,e
",",j
n,I
e,<DEL>
v,<DEL>
y,<DEL>
d,<DEL>
r,<DEL>
ž,<DEL>
e,<DEL>
l,<DEL>
i,<DEL>
.,<DEL>
 ,<DEL>
T,<DEL>
a,a
k,k
ý,ý
m,m
 , 
z,z
p,p
ů,ů
s,s
o,o
b,b
e,e
m,m
 , 
p,p
ř,ř
i,i
n,n
á,á
š,š
e,e
l,l
i,i
 , 
t,t
a,a
b,b
á,á
k,k
",",","
 , 
c,c
i,i
h,h
l,l
o,o
v,t
ý,ý
 , 
č,č
a,a
j,j
",",<DEL>
 , 
m,m
a,a
s,s
o,o
",",<DEL>
 , 
p,p
r,r
e,e
c,c
l,l
í,i
k,k
y,y
 , 
a,J
 ,<DEL>
j,<DEL>
i,i
n,n
é,é
 , 
a,J
 ,<DEL>
j,<DEL>
i,i
n,n
é,é
",",_
 , 
v,T
y,y
j,j
m,m
a,a
 , 
s,s
n,n
a,a
d,d
 , 
j,<DEL>
e,e
n,n
 , 
v,v
o,o
d,d
k,k
u,u
.,_
 , 
V,V
o,o
d,d
k,k
y,y
 , 
n,n
a,a
 , 
n,n
i,i
c,c
h,h
 , 
n,n
e,e
ž,ž
á,á
d,d
a,a
l,l
i,i
",",<DEL>
 , 
a,a
č,č
 , 
j,j
e,e
 , 
č,č
a,a
s,s
e,e
m,m
 , 
v,v
o,o
d,d
k,k
o,o
u,u
 , 
u,u
c,c
t,t
í,í
v,v
a,a
l,l
i,i
 , 
O,O
s,s
i,i
p,p
 , 
m,m
n,n
ě,ě
 , 
u,u
p,p
r,r
a,a
v,v
o,o
v,r
a,a
l,l
 , 
p,p
o,o
 , 
n,n
ě,ě
k,k
o,o
l,l
i,i
k,k
 , 
l,l
e,e
t,t
 , 
s,s
t,t
á,á
l,l
e,e
 , 
j,<DEL>
e,e
d,d
n,n
o,o
 , 
a,<DEL>
 ,<DEL>
t,t
o,o
t,t
é,é
ž,ž
",",","
<INS>, 
<INS>,n
<INS>,e
<INS>,r
<INS>,y
<INS>,d
<INS>,r
<INS>,ž
<INS>,e
<INS>,l
<INS>,i
<INS>, 
<INS>,.
n,n
e,e
z,z
a,a
p,p
o,o
m,m
í,í
n,n
a,a
l,l
 , 
a,a
n,n
i,i
 , 
n,n
y,y
n,n
í,í
.,_
 , 
P,P
ř,ř
i,i
b,b
ě,ě
h,h
n,n
e,e
",",","
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
u,u
 , 
m,m
é,é
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
y,y
",",","
 , 
k,k
r,r
á,á
č,č
í,í
 , 
m,m
l,I
 , 
v,v
e,e
d,d
l,l
e,e
 , 
m,m
n,n
e,e
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
s,s
 , 
s,s
á,á
m,m
 , 
u,u
 , 
s,s
e,e
b,b
e,e
 , 
n,n
ě,ě
č,č
e,e
m,m
u,u
 , 
d,d
 , 
V,V
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
á,á
c,c
h,h
 , 
j,j
s,s
e,e
m,m
 , 
s,s
 , 
l,l
o,o
u,u
č,č
i,i
l,l
 , 
s,s
 , 
t,t
ě,ě
m,m
i,i
 , 
z,z
č,č
e,e
r,r
n,n
a,a
l,l
ý,ý
 , 
b,b
ř,ř
e,e
v,v
n,n
o,o
v,v
ý,ý
m,m
i,i
 , 
s,s
r,r
u,u
b,b
y,y
 , 
n,n
a,a
š,š
r,c
o,p
z,c
d,r
ě, 
l,l
e,e
<INS>,l
<INS>,e
n,e
á,á
 , 
p,p
r,r
o,e
 ,J
d,l
v,v
ě,e
 , 
s,s
k,k
u,u
p,p
i,u
n,y
y, 
.,.
 , 
D,D
á,á
l,k
e,s
 ,<DEL>
j,j
e,o
š,s
t,t
ě,e
 , 
j,J
e,e
d,d
n,n
o,<DEL>
 , 
s,s
t,t
a,a
v,v
e,c
n,i
í,u
",",<DEL>
 , 
k,k
d,l
e,o
 , 
j,J
s,<DEL>
o,o
u,u
 , 
<INS>,""""
p,p
o,o
d,l
 ,z
s,ě
p,p
o, 
l,<DEL>
e,<DEL>
č,<DEL>
n,n
o,<DEL>
u,<DEL>
 , 
s,s
t,t
ř,ř
e,o
c,c
h,h
o,o
u,u
 , 
u,n
m,m
í,c
s,c
t,i
ě,<DEL>
n,n
y,r
 , 
s,<DEL>
k,<DEL>
l,<DEL>
e,<DEL>
p,p
y,<DEL>
",",<DEL>
 ,<DEL>
s,s
ý,<DEL>
p,p
k,l
y,n
 , 
a,<DEL>
 ,<DEL>
k,k
ů,ů
l,l
n,n
y,y
<INS>, 
.,.
 , 
P,F
r,j
o,a
s,s
t,t
ř,ž
e,i
d,l
e,<DEL>
k,k
 ,e
d,h
v,n
o,<DEL>
r,r
a,a
 , 
j,j
e,i
 ,s
p,p
r,r
á,á
<INS>,e
z, 
d,I
n,n
ý,e
 ,<DEL>
a,a
 , 
t,h
v,r
o,a
ř,<DEL>
í,<DEL>
 , 
r,I
o,c
v,n
n,n
é,c
",",<DEL>
 , 
d,d
o,o
s,s
t,t
i,i
 , 
r,r
o,á
z, 
s,s
á,a
h,b
l,l
<INS>,e
é,_
 , 
p,p
r,r
o,o
s,s
t,t
r,r
a,a
n,n
s,s
t,t
v,e
í,i
.,<DEL>
 , 
Z,Z
d,d
e,a
 , 
<INS>,+
s, 
e,e
 , 
t,t
r,r
e,a
s,v
t,i
a,<DEL>
n,n
c,g
i,j
 , 
s,s
t,t
a,a
v,t
í,j
 , 
d,d
<INS>,u
<INS>,r
<INS>, 
<INS>,a
<INS>,l
<INS>, 
<INS>,P
o,o
<INS>,d
 , 
<INS>,s
<INS>,k
<INS>,k
ř,p
a,ý
d, 
",",","
m,<DEL>
a,<DEL>
k,<DEL>
i,<DEL>
n,<DEL>
g,g
 ,<DEL>
g,<DEL>
e,e
n,n
t,t
l,l
e,e
m,m
a,a
n,n
",",;
”,<DEL>
 , 
s,s
a,a
i,i
d,d
 , 
M,M
r,r
.,.
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",","
 , 
a,a
s,s
 , 
h,h
e,e
 , 
f,f
o,o
l,l
d,d
e,e
d,d
 , 
u,u
p,p
 , 
t,t
h,h
e,e
 , 
l,l
e,e
t,t
t,t
e,e
r,r
.,.
 , 
“,""""
H,H
e,e
 , 
s,s
e,e
e,e
m,m
s,s
 , 
t,t
o,o
 , 
b,b
e,e
 , 
a,<DEL>
 ,<DEL>
m,m
o,o
s,s
t,t
 , 
c,c
o,o
n,n
s,s
c,c
i,i
e,e
n,n
t,t
i,i
o,o
u,u
s,s
 , 
a,a
n,n
d,d
 , 
p,<DEL>
o,<DEL>
l,<DEL>
i,<DEL>
t,<DEL>
e,<DEL>
 ,<DEL>
y,y
o,o
u,u
n,n
g,g
 , 
m,m
a,a
n,<DEL>
",",","
 , 
u,u
p,p
o,o
n,n
 , 
m,m
y,y
 , 
w,w
o,o
r,r
d,d
;,;
 , 
a,a
n,n
d,d
",",;
 , 
I,<DEL>
 ,<DEL>
d,d
o,o
u,u
b,b
t,t
 , 
n,n
o,o
t,t
",",","
 , 
w,w
i,i
l,l
l,l
 , 
p,p
r,r
o,o
v,v
e,e
 , 
a,<DEL>
 ,<DEL>
v,v
a,a
l,l
u,u
a,a
b,b
l,l
e,e
 , 
a,a
c,c
q,q
u,u
a,a
i,i
n,n
t,t
a,a
n,n
c,c
e,e
",",","
 , 
e,e
s,s
p,p
e,e
c,c
i,i
a,a
l,l
l,l
y,y
 , 
i,i
f,f
 , 
L,L
a,a
d,d
y,y
 , 
C,C
a,a
t,t
h,h
e,e
r,r
i,i
n,n
e,e
 , 
s,s
h,h
o,o
u,u
l,l
d,d
<INS>, 
<INS>,m
<INS>,a
<INS>,k
<INS>,i
<INS>,n
<INS>,g
<INS>, 
<INS>,p
<INS>,o
<INS>,l
<INS>,i
<INS>,t
<INS>,e
t,t
e,e
b,b
e,e
 , 
s,s
t,t
r,r
e,e
j,j
č,č
e,e
k,k
.,-
"""",<DEL>
 , 
„,<DEL>
E,E
h,h
",",<DEL>
 , 
 ,<DEL>
t,t
ě,ě
 , 
č,č
e,e
r,r
t,t
 , 
i,<DEL>
 ,<DEL>
s,s
e,e
 , 
s,s
t,t
r,r
e,e
j,j
č,č
k,k
e,e
 , 
n,n
e,e
s,s
t,t
o,o
j,j
í,í
 , 
z,z
a,a
 , 
t,t
o,o
",",","
 , 
s,<DEL>
 ,<DEL>
t,t
e,e
b,b
o,o
 , 
m,m
l,l
u,u
v,v
i,i
t,t
!,<DEL>
 , 
A,<DEL>
 ,<DEL>
v,v
i,i
d,d
í,í
š,š
",",<DEL>
 , 
t,t
a,a
k,k
o,o
 , 
h,h
e,e
z,z
k,k
é,é
 , 
s,s
l,l
o,o
v,v
í,í
č,č
k,k
o,o
 , 
j,i
s,s
e,e
m,m
 , 
t,<DEL>
 ,<DEL>
c,c
h,h
t,t
ě,ě
l,l
 , 
p,p
o,o
v,v
ě,ě
d,d
i,i
t,t
.,.
 , 
T,I
a,a
k,k
 , 
v,v
i,i
 , 
t,t
e,e
d,d
y,y
<INS>, 
",",","
 , 
b,b
r,r
a,a
š,š
i,i
",",<DEL>
 , 
j,j
a,a
k,k
 , 
s,s
e,e
 , 
t,<DEL>
 ,<DEL>
p,p
ř,ř
i,i
h,h
o,o
d,d
i,i
l,l
o,o
",",","
 , 
ž,ž
e,e
 , 
j,j
s,s
e,e
m,m
 , 
s,s
e,e
 , 
k,k
r,r
á,á
t,t
c,c
e,e
 , 
z,z
d,d
r,r
ž,ž
e,e
l,l
 ,<DEL>
v,<DEL>
 , 
M,M
o,o
s,s
k,k
v,v
 , 
D,D
a,a
l,l
i,i
 , 
m,m
n,n
ě,ě
 , 
n,n
a,a
p,p
o,o
s,s
l,l
e,e
d,d
 , 
p,p
a,a
t,t
“,'
T,T
h,h
a,a
n,n
k,k
 , 
y,y
o,o
u,u
",",;
”,<DEL>
 , 
s,s
a,a
i,i
d,d
 , 
L,L
y,y
d,d
i,i
a,a
;,;
 , 
“,""""
f,f
o,o
r,r
 , 
i,i
f,f
 , 
y,y
o,o
u,u
 , 
d,d
i,i
d,d
",",","
 , 
I,<DEL>
 ,<DEL>
s,s
h,h
o,o
u,u
l,l
d,d
 , 
c,c
e,e
r,r
t,t
a,a
i,i
n,n
l,l
y,y
 , 
t,t
e,e
l,l
l,l
 , 
y,y
o,o
u,u
 , 
a,a
l,l
l,i
",",","
 , 
a,a
n,n
d,d
 , 
t,t
h,h
e,e
n,n
 , 
W,W
i,i
c,c
k,k
h,h
a,a
m,m
 , 
w,w
o,o
u,u
l,l
d,d
 , 
b,b
e,e
 , 
s,<DEL>
o,<DEL>
 ,<DEL>
a,a
n,n
g,g
r,r
y,y
.,.
”,<DEL>
 , 
O,O
n,n
 , 
s,s
u,u
c,c
h,h
 , 
e,e
n,n
c,c
o,o
u,u
r,r
a,a
g,g
e,e
m,m
e,e
n,n
t,t
 , 
t,t
o,o
 , 
a,a
s,s
k,k
",",;
 , 
E,E
l,l
i,i
z,z
a,a
b,b
e,e
t,t
h,h
 , 
w,w
a,a
s,s
 , 
f,f
o,o
r,r
c,c
e,e
d,d
 , 
t,t
o,o
 , 
p,p
u,u
t,t
 , 
i,<DEL>
t,<DEL>
 ,<DEL>
o,o
u,u
t,t
 , 
o,o
f,f
 , 
h,h
e,e
r,r
 , 
p,p
o,o
w,w
e,e
r,r
",",;
 , 
b,b
y,y
 , 
r,r
u,u
n,n
n,n
i,i
n,n
g,g
 , 
a,a
w,w
a,a
y,y
.,<DEL>
 , 
B,B
u,u
t,t
 , 
t,t
o,o
 , 
l,l
i,i
v,v
e,e
 , 
i,i
n,n
 , 
i,i
g,g
n,n
o,o
r,r
a,a
n,n
c,c
e,e
 , 
o,o
n,n
 , 
s,s
u,u
c,c
h,h
k,k
r,r
á,á
č,č
í,í
m,m
e,e
!,l
 , 
L,L
i,i
d,d
é,é
 , 
s,s
e,e
 , 
d,d
í,í
v,v
a,a
j,j
í,í
 , 
n,n
a,a
 , 
n,n
á,á
s,s
 , 
s,s
e,e
 , 
z,z
á,á
l,i
i,i
b,b
o,o
u,u
;,;
 , 
j,j
á,á
 , 
b,b
y,y
l,l
 , 
c,c
h,h
l,l
a,a
p,p
í,i
k,k
",",;
 , 
a,<DEL>
 ,<DEL>
A,A
k,k
u,u
l,i
i,i
n,n
u,u
š,š
k,k
u,u
",",","
 , 
t,t
ř,ř
e,e
b,b
a,a
s,s
 , 
s,s
e,e
 , 
n,n
e,e
m,m
o,o
h,h
l,l
a,a
 , 
v,v
y,y
n,n
á,á
š,š
e,e
t,t
i,i
 , 
p,p
ř,ř
e,e
d,d
 , 
j,j
i,i
n,n
ý,ý
m,m
i,i
",",","
 , 
a,a
l,l
e,e
 , 
h,h
a,a
n,n
ě,é
t,t
i,i
 , 
t,t
a,a
k,k
é,é
 , 
n,n
e,e
b,b
y,y
l,l
o,o
 , 
m,m
o,o
ž,ž
n,n
o,o
;,;
 , 
b,b
y,y
l,l
a,a
 , 
t,t
a,a
k,k
 , 
p,p
r,r
o,o
s,s
t,t
ř,ř
e,e
d,d
n,n
í,í
<INS>, 
",",","
 , 
j,j
a,a
k,k
ý,ý
c,c
h,h
 , 
j,j
d,d
e,e
 , 
d,d
v,v
a,a
n,n
á,á
c,c
t,t
 , 
n,n
a,a
 , 
t,t
u,u
c,c
e,e
t,t
 , 
.,<DEL>
.,<DEL>
.,<DEL>
"""",<DEL>
 ,<DEL>
„,<DEL>
A,A
 ,<DEL>
t,t
o,o
 , 
j,j
e,e
 , 
p,p
r,r
á,á
v,v
ě,ě
 , 
d,d
o,o
b,b
ř,ř
e,e
.,_
"""",<DEL>
 , 
„,<DEL>
T,T
a,a
k,k
 , 
t,t
e,e
d,d
y,y
m,m
a,a
t,t
t,t
e,e
r,r
 , 
o,o
f,f
 , 
c,c
h,h
a,a
n,n
c,c
e,e
.,.
 , 
I,I
f,f
 , 
t,t
 , 
d,d
i,i
s,s
p,p
o,o
s,s
i,i
t,t
i,i
o,o
n,n
s,s
 , 
o,o
f,f
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
i,i
e,e
s,s
 , 
a,a
r,r
e,e
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
 ,<DEL>
k,k
n,n
o,o
w,w
n,n
 , 
t,t
o,o
 , 
e,e
a,a
c,c
h,h
 , 
o,o
t,t
h,h
e,e
r,r
",",;
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
s,s
i,i
m,m
i,i
l,l
a,a
r,r
 , 
b,b
e,e
f,f
o,o
r,r
e,e
h,h
a,a
n,n
d,d
<INS>, 
",",","
 , 
i,i
t,t
 , 
d,d
o,o
e,e
s,s
 ,<DEL>
 , 
a,a
d,d
v,v
a,a
n,n
c,c
e,e
 , 
t,t
h,h
e,e
i,i
r,r
 , 
f,f
e,e
l,l
i,i
c,c
i,i
t,t
y,y
d,d
o,o
m,m
ě,ě
 , 
m,m
ě,ě
š,š
ť,ť
a,a
n,n
o,o
v,v
ě,ě
<INS>, 
",",","
 , 
a,a
ž,ž
 , 
B,B
ů,ů
h,h
 , 
b,b
r,r
á,á
n,n
í,í
;,;
 , 
s,s
 , 
d,d
c,c
e,e
r,r
o,o
u,u
 , 
s,s
p,p
í,í
",",","
 , 
h,h
o,o
s,s
p,p
o,o
d,d
á,á
ř,ř
e,e
 , 
z,z
a,a
 , 
b,b
r,r
a,a
d,d
u,u
 , 
k,k
a,a
ž,ž
d,d
 , 
d,d
e,e
n,n
 , 
p,p
o,o
 , 
o,o
b,b
ě,ě
d,d
ě,ě
 , 
t,t
a,a
h,h
á,á
 , 
—,<DEL>
 ,<DEL>
v,v
š,š
e,e
 , 
t,t
o,o
 , 
č,č
i,i
n,n
í,í
 , 
p,p
r,r
o,o
 , 
s,s
v,v
é,é
 , 
v,v
y,y
r,r
a,a
ž,ž
e,e
n,n
í,í
.,<DEL>
 , 
K,K
a,a
ž,ž
d,d
ý,ý
 , 
d,d
e,e
n,n
 , 
a,a
b,b
y,y
 , 
m,m
u,u
 , 
t,t
o,o
p,p
i,i
l,l
i,i
 , 
l,l
á,á
z,z
e,e
ň,ň
",",","
 ,<DEL>
a,<DEL>
 , 
a,a
b,b
y,y
 , 
p,p
á,á
r,r
y,y
 , 
p,p
ř,ř
i,i
b,b
y,y
l,l
o,o
",",","
 , 
m,m
í,í
s,s
t,t
o,o
 , 
v,v
o,o
d,d
y,y
 , 
m,m
u,u
s,s
í,í
 , 
k,k
o,o
ř,ř
a,a
l,l
k,k
u,u
 , 
l,l
í,í
t,t
i,i
 , 
n,n
a,a
 , 
ž,ž
h,h
a,a
v,v
ý,ý
v,v
ě,ě
š,s
á,a
k,k
u,u
 , 
u,u
 , 
d,d
v,v
e,é
ř,ř
í,í
<INS>, 
.,.
 , 
T,T
a,a
m,m
 , 
v,v
i,i
s,s
e,e
l,l
y,y
 , 
o,o
p,p
a,a
s,s
k,k
y,y
 , 
s,s
e,e
 , 
s,s
u,u
m,m
k,k
a,a
m,m
i,i
.,.
 , 
T,T
o,o
n,n
d,d
a,a
 , 
h,h
b,b
i,i
t,t
ě,ě
 , 
p,p
ř,ř
i,i
s,s
k,k
o,o
č,č
i,i
l,l
 , 
a,a
 , 
n,n
a,a
h,h
á,á
z,z
e,e
l,l
 , 
j,j
e,e
 , 
d,d
o,o
 , 
c,c
h,h
l,l
e,e
b,b
n,n
í,i
k,k
u,u
.,.
 , 
T,T
u,u
 , 
j,j
e,e
 , 
m,m
o,o
c,c
 , 
p,p
a,a
r,r
t,t
y,y
z,z
á,á
n,n
ů,ů
",",","
 , 
ř,ř
e,e
k,k
l,l
 , 
j,j
e,e
š,š
t,t
ě,ě
 , 
S,S
l,l
á,á
v,v
e,e
k,k
 , 
k,k
 , 
M,M
a,a
ď,d
a,a
r,r
ů,ů
m,m
 , 
a,a
 , 
n,n
a,a
z,z
n,n
a,a
č,č
i,i
l,l
 , 
r,r
u,u
k,k
o,o
u,u
",",;
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
v,<DEL>
 ,<DEL>
c,c
e,e
l,l
é,é
m,m
 , 
o,o
k,k
o,o
l,l
í,i
 , 
b,b
y,y
l,l
i,i
 , 
s,s
a,a
m,m
í,i
 , 
p,p
a,a
r,r
t,t
y,y
z,z
á,a
n,n
i,i
.,.
 , 
D,D
a,a
l,l
 , 
p,p
r,r
s,s
t,t
 , 
n,n
a,a
 , 
ú,u
s,s
t,t
a,a
 , 
a,a
 , 
d,d
o,o
d,d
a,a
l,l
:,.
 , 
V,V
y,y
 , 
b,b
u,u
d,d
e,e
t,t
e,e
s,s
a,a
k,k
e,e
 , 
t,t
h,h
a,a
t,t
 , 
h,h
i,i
s,s
 , 
m,m
a,a
n,n
n,n
e,e
r,r
s,s
 , 
a,a
r,r
