Truth,Pred
ě,ě
l,l
 , 
n,n
a,a
p,p
s,s
á,á
n,n
o,o
",",","
 , 
ž,<DEL>
e,<DEL>
 ,<DEL>
c,<DEL>
o,<DEL>
 ,<DEL>
m,m
l,l
u,u
v,v
í,i
",",-
 ,<DEL>
j,j
e,e
 , 
s,s
a,a
m,m
<INS>,n
á,á
 , 
l,l
e,e
ž,ž
.,<DEL>
 , 
Z,Z
v,v
a,a
l,l
i,i
 ,<DEL>
h,h
o,o
 , 
Č,C
e,e
k,k
u,u
n,n
o,o
v,v
.,<DEL>
 , 
P,P
a,a
t,h
r,r
n,é
ě,<DEL>
 , 
s,s
e,e
 , 
k,k
e,e
 , 
m,m
n,n
ě,ě
 , 
l,l
i,i
c,c
h,h
o,o
t,t
i,i
l,l
",",<DEL>
p,p
o,o
z,n
d,l
r,r
a,a
v,n
i,<DEL>
l,l
a,a
.,-
 , 
D,D
o,o
b,b
r,r
ý,ý
 , 
d,d
e,e
n,n
",",<DEL>
 , 
c,d
h,a
l,l
a,a
p,p
c,c
i,i
<INS>, 
",",.
 , 
o,o
d,d
p,p
o,o
v,v
ě,ě
d,d
ě,é
l,]
.,<DEL>
 , 
C,C
o,o
 , 
<INS>,I
m,n
á,á
t,r
e,e
",", 
 ,H
p,l
a,a
n,n
e,e
 , 
k,k
o,o
l,i
e,e
g,r
o,o
?,?
 , 
Č,C
e,t
š,i
t,t
i,i
n,n
<INS>,n
u, 
.,","
 , 
<INS>,L
U,i
s,s
p,p
o,o
ř,t
á,á
d,d
a,a
l,h
i, 
 ,I
j,r
s,n
m,r
e,e
 , 
s,s
i,í
 ,<DEL>
r,r
e,e
c,<DEL>
i,i
t,t
a,s
č,č
n,n
í,í
 , 
h,b
o,o
d,d
i,u
n,<DEL>
k,k
u,u
.,<DEL>
 , 
C,C
h,h
v,n
i,<DEL>
l,l
k,k
u,u
 , 
s,s
i,i
 , 
p,p
o,o
s,s
l,l
e,e
c,c
h,h
n,n
u,n
.,<DEL>
 , 
M,J
ů,á
ž,ž
e,e
t,t
e,e
 , 
p,p
o,o
k,i
r,e
a,c
č,<DEL>
o,o
v,v
a,a
t,t
.,<DEL>
 , 
P,F
a,a
v,r
e,e
l,l
 , 
K,K
o,o
<INS>,r
v,v
á,á
ř,ř
 , 
s,3
e,e
 , 
p,p
o,o
n,n
ě,é
k,k
u,u
d,d
 , 
z,z
a,a
r,r
a,a
ž,l
e,e
n,n
 , 
p,p
o,o
d,d
í,í
v,v
a,a
l,l
 , 
n,c
a,a
 , 
u,u
č,c
i,r
t,<DEL>
e,e
l,l
e,e
",",<DEL>
 , 
p,<DEL>
a,<DEL>
k,<DEL>
 ,<DEL>
n,n
a,€
 , 
i,i
n,n
s,s
p,p
e,e
k,l
t,t
o,a
r,r
a,n
.,:
 , 
B,B
y,y
l,l
o,o
<INS>, 
<INS>,p
<INS>,e
<INS>,l
<INS>,c
“,<DEL>
t,t
h,h
a,a
t,t
 , 
r,r
e,e
p,p
o,o
r,i
t,t
s,s
 , 
m,m
a,a
y,y
 , 
v,v
a,a
r,r
y,y
 , 
g,e
r,r
e,e
a,a
t,u
l,v
y,<DEL>
 , 
w,W
i,<DEL>
t,t
h,h
 , 
r,r
e,a
s,-
p,p
e,e
c,c
t,t
 ,<DEL>
t,t
o,o
 , 
m,<DEL>
e,<DEL>
;,<DEL>
 ,<DEL>
a,a
n,n
d,d
 , 
I,I
 , 
c,c
o,o
u,u
l,l
d,d
 , 
w,v
i,i
s,s
h,h
",",<DEL>
 , 
M,M
i,<DEL>
s,s
s,<DEL>
 , 
B,B
e,e
n,n
n,n
e,e
t,c
",",<DEL>
 , 
t,n
h,<DEL>
a,a
t,t
 , 
<INS>,V
y,O
o,U
u,.
 , 
w,'
e,e
r,i
e,<DEL>
 , 
n,I
o,O
t,I
 , 
t,t
o,0
 , 
s,s
k,k
e,e
t,t
c,c
<INS>,i
h,l
 , 
<INS>,n
<INS>,l
m,l
y,V
 , 
c,c
h,h
a,a
r,r
a,a
c,c
t,t
e,e
r,r
 , 
a,a
t,t
 , 
t,t
h,h
e,e
 , 
p,p
r,r
e,e
s,s
e,e
n,n
t,r
 , 
m,[
o,o
m,n
e,e
n,t
t,l
",",I
 , 
a,1
s,5
 , 
t,t
h,h
e,e
r,r
e,e
 , 
i,I
s,<DEL>
 ,<DEL>
r,<DEL>
e,e
a,a
s,s
o,o
n,n
 , 
t,(
o,C
 , 
f,t
e,e
a,a
r,z
 , 
t,t
h,h
a,a
t,t
 , 
t,t
h,:
e,<DEL>
 , 
p,p
e,e
r,r
f,f
o,o
r,<DEL>
m,m
a,a
n,n
c,c
e,e
 , 
w,w
o,o
u,u
l,l
d,d
 , 
r,r
e,e
f,f
l,<DEL>
e,e
c,c
t,t
 , 
n,H
o,o
 , 
c,E
r,l
e,é
d,d
i,n
t,<DEL>
 , 
o,o
n,n
 , 
e,e
i,m
t,<DEL>
h,h
e,e
r,r
.,<DEL>
”,<DEL>
v,v
t,t
r,r
h,h
l,l
 , 
<INS>,c
d,l
o,o
 , 
t,t
r,r
e,e
s,s
t,t
n,n
i,i
c,c
e,e
 , 
n,n
 ,<DEL>
i,<DEL>
 ,<DEL>
v,<DEL>
 ,<DEL>
n,<DEL>
o,o
c,c
i,1
",",<DEL>
 , 
a,<DEL>
 ,<DEL>
z,z
p,p
o,o
z,z
o,o
r,_
o,O
v,V
 , 
l,l
i,1
",",","
 , 
ž,ž
e,e
 , 
t,t
r,r
e,e
s,s
t,t
a,a
n,n
e,e
c,c
 , 
s,s
p,p
í,i
 , 
l,l
e,e
v,v
é,é
m,m
 , 
b,b
o,o
k,k
u,u
",",","
 , 
n,n
e,e
b,b
o,o
 , 
n,n
a,a
z,z
 , 
d,d
a,a
l,l
 , 
h,h
o,o
 , 
r,r
á,a
n,n
o,o
 , 
p,p
o,o
t,t
r,r
e,e
s,s
t,t
a,a
 , 
A,A
ť,t
",",","
 , 
p,p
r,r
ý,y
",",<DEL>
 , 
s,s
p,p
í,1
 , 
n,n
a,a
 , 
p,p
r,r
a,a
v,v
 , 
b,b
o,o
k,k
u,u
",",<DEL>
 , 
j,<DEL>
a,<DEL>
k,<DEL>
 ,<DEL>
p,p
ř,c
i,i
k,k
á,é
z,z
a,a
l,l
.,<DEL>
 , 
 ,<DEL>
t,t
r,r
e,e
s,s
t,t
n,n
i,i
c,c
i,i
 , 
h,h
o,o
 , 
n,n
e,e
n,n
á,á
v,v
i,i
d,d
 , 
b,b
á,a
l,l
i,i
 , 
s,s
e,e
 , 
h,h
o,o
",",<DEL>
 , 
j,j
a,a
k,k
o,o
 , 
m,n
o,c
r,r
 , 
O,O
b,b
l,l
i,i
č,<DEL>
e,<DEL>
j,<DEL>
 , 
m,m
ě,ě
<INS>, 
l,l
 , 
r,r
u,u
d,d
<INS>,i
<INS>, 
<INS>,J
<INS>,a
<INS>,k
<INS>, 
<INS>,c
ý,e
",",","
n,n
e,e
v,v
y,y
d,d
r,r
ž,ž
e,e
l,l
i,i
.,<DEL>
 , 
T,T
a,a
k,l
ý,ý
m,m
 , 
z,z
p,p
ů,ú
s,s
o,o
b,b
e,e
m,m
 , 
p,p
ř,i
i,i
n,n
á,ä
š,š
e,e
l,l
i,i
 , 
t,t
a,a
b,b
á,á
k,k
",",<DEL>
 , 
c,c
i,i
h,h
l,l
o,o
v,<DEL>
ý,ý
 , 
č,č
a,a
j,j
",",<DEL>
 , 
m,n
a,a
s,s
o,o
",",<DEL>
 , 
p,p
r,r
e,e
c,c
l,l
í,i
k,k
y,y
 , 
a,J
 ,<DEL>
j,<DEL>
i,i
n,n
é,e
 ,-
a,<DEL>
 , 
j,T
i,<DEL>
n,<DEL>
é,<DEL>
",",<DEL>
 ,<DEL>
v,<DEL>
y,y
j,j
m,m
a,a
 , 
s,s
n,n
a,a
d,d
 , 
j,J
e,e
n,n
 , 
v,v
o,o
d,d
k,k
u,u
.,<DEL>
 , 
V,V
o,o
d,d
k,k
y,y
 , 
n,n
a,a
 , 
n,n
i,i
c,c
h,h
 , 
n,n
e,e
ž,ž
á,á
d,d
a,a
l,l
i,i
<INS>, 
",",.
 , 
a,a
č,č
 , 
j,J
e,e
 , 
č,č
a,a
s,s
e,e
<INS>,n
m,l
 , 
v,v
o,o
d,d
k,k
o,o
u,u
 , 
u,u
c,c
t,t
í,i
v,v
a,a
l,l
i,i
 , 
O,<DEL>
s,<DEL>
i,<DEL>
p,<DEL>
 ,<DEL>
m,m
n,n
ě,č
 , 
u,o
p,p
r,r
a,a
v,v
o,o
v,v
a,a
l,l
 , 
p,p
o,o
 , 
n,n
ě,ě
k,k
o,o
l,l
i,i
k,k
 , 
l,l
e,e
t,t
 , 
s,s
t,t
á,a
l,l
e,e
 , 
j,j
e,e
d,d
n,n
o,o
 , 
<INS>,t
<INS>,o
<INS>,t
<INS>,e
a,z
 , 
<INS>,J
<INS>,u
t,n
o,e
t, 
é,O
ž,s
",",p
n,n
e,e
z,z
a,a
p,p
o,o
m,m
í,i
n,n
a,a
l,l
 , 
a,<DEL>
n,n
i,<DEL>
 ,<DEL>
n,<DEL>
y,y
n,n
í,í
.,_
 , 
P,P
ř,ř
i,i
b,b
ě,ě
h,h
n,n
e,e
",",","
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
u,u
 , 
m,m
é,é
 , 
m,m
y,y
š,š
l,l
é,é
n,n
k,k
y,y
",",","
 , 
k,k
r,r
á,á
č,č
í,í
 , 
m,m
l,I
 , 
v,v
e,e
d,d
l,l
e,e
 , 
m,m
n,n
e,e
 , 
a,a
 , 
j,j
a,a
k,k
o,o
 , 
b,b
y,y
 , 
s,s
 , 
s,s
á,á
m,m
 , 
u,u
 , 
s,s
e,e
b,b
e,e
 , 
n,n
ě,ě
č,č
e,e
m,m
u,u
 , 
d,d
 , 
V,<DEL>
 ,<DEL>
m,m
y,y
š,š
l,l
é,é
n,n
k,k
á,á
c,c
h,h
 , 
j,j
s,s
e,e
m,m
 , 
s,s
 , 
l,l
o,o
u,u
č,č
i,i
l,l
 , 
s,s
 , 
t,t
ě,ě
m,m
i,i
 , 
z,z
č,č
e,e
r,r
n,n
a,a
l,l
ý,ý
 , 
b,b
ř,ř
e,e
v,v
n,n
o,o
v,v
ý,ý
m,m
i,i
 , 
s,s
r,r
u,u
b,b
y,y
 , 
n,n
a,a
š,š
<INS>, 
<INS>,a
<INS>,n
<INS>,i
<INS>,'
<INS>,1
<INS>,2
r,a
o, 
z,j
d,t
ě,a
l,l
<INS>,j
<INS>,-
<INS>,a
e,Ť
n,-
á,a
 , 
p,E
r,r
<INS>,v
o,i
 ,e
d,t
v,v
ě,i
 ,e
s,z
k,v
u,i
p,e
i,i
n,v
y,i
.,e
 ,i
D,v
á,i
l,e
e,i
 , 
<INS>,1
<INS>,E
<INS>,2
j, 
e,a
š,s
t,t
ě,:
 , 
j,L
e,s
d,t
n,:
o, 
 ,A
s,s
<INS>,T
t,t
<INS>,:
<INS>,-
a, 
v,A
e,s
n,1
í,:
",",-
 , 
<INS>,L
k,s
d,T
e,*
 , 
j,2
s,s
o,1
u,f
 , 
p,-
o,5
d,<DEL>
 , 
s,I
p,u
o,r
l,c
e, 
č,I
n,<DEL>
o,o
u,-
 , 
<INS>,I
<INS>,o
s,i
t,-
ř,0
e,7
c, 
h,t
o,o
u,n
 , 
<INS>,s
u,1
m,O
í,T
s, 
t,S
ě,I
n,O
y,T
 , 
s,s
k,h
l,o
e,T
p,i
y,<DEL>
",",<DEL>
 , 
s,s
<INS>,n
ý,O
p,T
k, 
y,s
 ,n
a,O
 , 
k,<
ů,I
l,l
<INS>,0
n,""""
y, 
.,}
 ,1
P,!
r, 
o,1
s,0
t, 
ř,1
e,.
d,7
e,1
k,0
 , 
d,1
v,.
o,1
r,0
a, 
 ,1
j,4
e,1
 ,1
p,0
r, 
á,1
z,4
d,2
n,1
ý,0
 , 
a,L
 ,4
t,J
v,1
o,C
ř, 
í,I
 ,n
r,e
o,i
v,l
n,n
é, 
",", 
 ,E
d,n
o,o
s,<DEL>
t,t
i,i
 ,-
r,m
o,o
z, 
s,;
á, 
h,-
l,<DEL>
é,<DEL>
 , 
p,9
r,z
o, 
s,1
t,0
r,+
a,i
n,n
<INS>,o
s, 
t,L
v,B
í,l
.,O
 , 
Z,Z
<INS>,2
d,n
e,o
 , 
s,1
e,e
 ,.
t,1
r,0
e, 
s,s
<INS>,i
<INS>,l
t,j
a,)
n, 
c,e
i,i
<INS>,-
<INS>,g
 , 
<INS>,e
<INS>,i
s,-
t,o
a,I
v,s
í,I
 , 
d,:
o,1
 , 
ř,f
a,o
d,7
",",s
m,<DEL>
a,<DEL>
k,<DEL>
i,<DEL>
n,<DEL>
g,g
 ,<DEL>
g,<DEL>
e,e
n,n
t,t
l,l
e,e
m,m
a,a
n,n
",",;
”,<DEL>
 , 
s,s
a,a
i,i
d,d
 , 
M,M
r,r
.,:
 , 
B,B
e,e
n,n
n,n
e,e
t,t
",",","
 , 
a,a
s,s
 , 
h,h
e,e
 , 
f,f
o,o
l,l
d,d
e,e
d,d
 , 
u,u
p,p
 , 
t,t
h,h
e,e
 , 
l,l
e,e
t,t
t,t
e,e
r,r
.,.
 , 
“,'
H,H
e,e
 , 
s,s
e,e
e,e
m,m
s,s
 , 
t,t
o,o
 , 
b,b
e,e
 , 
a,<DEL>
 ,<DEL>
m,m
o,o
s,s
t,t
 , 
c,c
o,o
n,n
s,s
c,c
i,i
e,e
n,n
t,t
i,i
o,o
u,u
s,s
 , 
a,a
n,n
d,d
 , 
p,<DEL>
o,<DEL>
l,<DEL>
i,<DEL>
t,<DEL>
e,<DEL>
 ,<DEL>
y,y
o,o
u,u
n,n
g,g
 , 
m,m
a,a
n,n
",",","
 , 
u,u
p,p
o,o
n,n
 , 
m,m
y,y
 , 
w,w
o,o
r,r
d,d
;,;
 , 
a,a
n,n
d,d
",",","
 , 
I,<DEL>
 ,<DEL>
d,d
o,o
u,u
b,b
t,t
 , 
n,n
o,o
t,t
",",","
 , 
w,w
i,i
l,l
l,l
 , 
p,p
r,r
o,o
v,v
e,e
 , 
a,<DEL>
 ,<DEL>
v,v
a,a
l,l
u,u
a,a
b,b
l,l
e,e
 , 
a,a
c,c
q,q
u,u
a,a
i,i
n,n
t,t
a,a
n,n
c,c
e,e
",",;
 , 
e,e
s,s
p,p
e,e
c,c
i,i
a,a
l,l
l,l
y,y
 , 
i,i
f,f
 ,<DEL>
L,L
a,a
d,d
y,y
 , 
C,C
a,a
t,t
h,h
e,e
r,r
i,i
n,n
e,e
 , 
s,s
h,h
o,o
u,u
l,l
d,d
<INS>, 
<INS>,m
<INS>,a
<INS>,k
<INS>,i
<INS>,n
<INS>,g
<INS>, 
<INS>,p
<INS>,o
<INS>,l
<INS>,i
<INS>,t
<INS>,e
t,t
e,e
b,b
e,e
 , 
s,s
t,t
r,r
e,e
j,j
č,č
e,e
k,k
.,_
"""",<DEL>
 , 
„,<DEL>
E,E
h,h
",", 
 ,_
 , 
t,c
ě,ě
 , 
č,č
e,e
r,r
t,t
 , 
i,<DEL>
 ,<DEL>
s,s
e,e
 , 
s,s
t,t
r,r
e,e
j,j
č,c
k,k
e,e
 , 
n,n
e,e
s,s
t,t
o,o
j,j
í,í
 , 
z,2
a,a
 , 
t,c
o,o
",",","
 , 
s,<DEL>
 ,<DEL>
t,t
e,e
b,b
o,o
 , 
m,m
l,l
u,u
v,v
i,i
t,t
!,l
 , 
A,<DEL>
 ,<DEL>
v,v
i,i
d,d
í,i
š,š
",",<DEL>
 , 
t,t
a,a
<INS>,l
k,c
o,o
 , 
h,h
e,e
z,z
<INS>,l
k,c
é,é
 , 
s,s
l,l
o,o
v,v
í,i
č,č
k,k
o,o
 , 
j,j
s,s
e,e
m,r
 , 
t,<DEL>
 ,<DEL>
c,c
h,h
t,r
ě,ě
l,l
 , 
p,p
o,o
v,v
ě,ě
d,d
i,i
t,c
.,.
 , 
T,f
a,a
k,k
 , 
v,v
i,i
 , 
t,t
e,e
d,d
y,y
",",","
 , 
b,b
r,r
a,a
š,š
i,1
",",<DEL>
 , 
j,J
a,a
k,k
 , 
s,s
e,e
 , 
t,<DEL>
 ,<DEL>
p,p
ř,É
i,i
h,h
o,o
d,c
i,i
l,<DEL>
o,<DEL>
",",<DEL>
 , 
ž,ž
e,e
 , 
j,j
s,a
e,e
m,m
 , 
s,s
e,e
 , 
k,k
r,r
á,á
t,c
c,o
e,e
 , 
z,z
d,d
r,r
ž,i
e,e
l,l
 , 
v,a
 ,c
M,<DEL>
o,o
s,s
<INS>,l
k,c
v,v
 , 
D,D
<INS>,e
a, 
l,J
i,1
 , 
m,m
n,r
ě,é
 , 
n,n
a,a
p,p
o,o
s,s
l,l
e,e
d,d
 , 
p,p
a,a
t,t
<INS>, 
<INS>,1
<INS>,0
<INS>,","
“,<DEL>
T,T
h,h
a,a
n,n
k,k
 , 
y,y
o,o
u,u
",",<DEL>
”,<DEL>
 , 
s,s
a,e
i,i
d,d
 , 
L,[
y,y
d,d
i,i
a,a
;,<DEL>
 , 
“,'
f,f
o,o
r,r
 ,n
i,1
f,<DEL>
 , 
y,y
o,o
u,u
 , 
d,d
i,i
d,a
",",<DEL>
 , 
I,<DEL>
 ,<DEL>
s,s
h,h
o,o
u,u
l,l
d,d
 , 
c,c
e,o
r,i
t,t
a,a
i,<DEL>
n,n
l,i
y,y
 , 
t,t
e,e
l,l
l,<DEL>
 , 
y,y
o,o
u,u
 , 
a,a
l,i
l,l
",",<DEL>
 , 
a,a
n,n
d,d
 , 
t,I
h,h
e,e
n,n
<INS>,n
 , 
W,W
i,<DEL>
c,c
k,d
h,i
a,a
m,m
 , 
<INS>,'
w,a
o,o
u,u
l,<DEL>
d,d
 , 
b,b
e,e
 , 
s,s
o,o
 , 
a,a
n,n
g,g
r,r
y,y
.,<DEL>
”,<DEL>
 , 
O,O
n,n
 , 
s,s
u,u
c,c
h,h
 , 
e,e
n,n
c,c
o,o
u,u
r,r
a,p
g,g
e,e
m,m
e,e
n,n
t,l
 , 
t,l
o,o
 , 
a,m
s,<DEL>
k,k
",",c
 , 
E,E
l,l
i,<DEL>
z,z
a,a
b,b
e,e
t,i
h,h
 , 
w,'
a,a
s,s
 , 
f,f
o,o
r,r
c,c
e,e
d,d
 , 
t,I
o,o
 , 
p,p
u,u
t,t
 , 
i,l
t,í
 , 
o,o
u,u
t,l
 , 
o,o
f,t
 , 
h,h
e,e
r,r
 , 
p,p
o,o
w,a
e,e
r,r
",",<DEL>
 , 
b,b
y,y
 , 
r,r
u,u
n,n
n,n
i,<DEL>
n,n
g,o
 , 
<INS>,&
a,a
w,<DEL>
a,a
y,y
.,<DEL>
 , 
B,B
u,u
t,t
 , 
t,l
o,o
 , 
l,I
i,<DEL>
v,v
e,e
 , 
i,i
n,n
 , 
i,i
g,g
n,n
o,o
r,r
a,a
n,n
c,c
e,e
 , 
o,o
n,n
 , 
s,s
u,u
c,c
h,h
k,E
r,e
á,h
č,i
í,<DEL>
m,m
e,e
!,l
 , 
L,L
i,a
d,<DEL>
é,é
 , 
s,S
e,e
 , 
d,Q
í,<DEL>
v,v
a,a
j,l
í,l
 , 
n,n
a,a
 , 
n,n
á,á
s,s
 , 
s,8
e,e
 , 
z,I
á,a
l,l
i,l
b,b
o,o
u,u
;,<DEL>
 , 
j,|
á,á
 , 
b,c
y,y
l,<DEL>
 , 
c,c
h,a
l,l
a,a
p,g
í,i
k,i
",",c
 , 
a,a
 ,m
A,n
k,<DEL>
u,<DEL>
l,<DEL>
i,i
n,v
u,u
š,l
k,r
u,v
",",<DEL>
 , 
t,t
ř,f
e,e
b,n
a,a
s,s
 , 
s,s
e,e
 , 
n,7
e,<DEL>
m,m
o,o
h,r
l,r
a,a
 , 
v,n
y,<DEL>
n,n
á,é
š,d
e,e
t,l
i,<DEL>
 , 
p,p
ř,i
e,e
d,o
 , 
j,[
i,r
n,p
ý,<DEL>
m,m
i,i
",",<DEL>
 , 
a,[
l,s
e,e
 , 
h,h
a,a
n,r
ě,é
t,n
i,<DEL>
 , 
t,t
a,a
k,r
é,é
 , 
n,n
e,e
b,h
y,<DEL>
l,l
o,o
 , 
m,m
<INS>,n
o,o
ž,i
n,n
o,o
;,<DEL>
 , 
b,D
y,v
l,a
a,t
 , 
t,n
a,l
k,l
 , 
p,o
r,r
o,c
s,n
t,m
ř,e
e,w
d,d
n,<DEL>
í,<DEL>
",",<DEL>
 , 
j,h
a,i
k,r
ý,y
c,c
h,h
 , 
j,J
d,o
e,<DEL>
 , 
d,a
v,v
a,a
n,n
á,i
c,c
t,i
 , 
n,n
a,a
 , 
t,w
u,o
c,<DEL>
e,e
t,t
 , 
.,<DEL>
.,<DEL>
.,<DEL>
"""",<DEL>
 ,<DEL>
„,<DEL>
A,A
 ,R
t,J
o,<DEL>
 ,<DEL>
j,j
e,e
 , 
p,D
r,l
á,a
v,v
ě,é
 , 
d,d
o,o
b,t
ř,ŕ
e,e
.,<DEL>
"""",<DEL>
 , 
„,J
T,<DEL>
a,a
k,u
 , 
t,l
e,e
d,a
y,y
m,m
a,a
t,t
t,t
e,e
r,r
 , 
o,o
f,f
 , 
c,c
h,h
a,a
n,n
c,c
e,e
<INS>, 
.,.
 , 
I,I
f,f
 , 
t,t
 , 
d,d
i,i
s,s
p,p
o,o
s,s
i,i
t,t
i,i
o,o
n,n
s,s
 , 
o,b
f,f
 , 
t,t
h,h
e,e
 , 
p,p
a,a
r,r
t,t
i,i
e,e
s,s
 , 
a,a
r,r
e,e
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
 ,<DEL>
k,k
n,n
o,o
w,w
n,n
 , 
t,t
o,o
 , 
e,e
a,a
c,c
h,h
 , 
o,o
t,t
h,h
e,e
r,r
",",","
 , 
e,e
v,v
e,e
r,r
 , 
s,s
o,o
 , 
s,s
i,i
m,m
i,i
l,l
a,a
r,r
 , 
b,b
e,e
f,f
o,o
r,r
e,e
h,h
a,a
n,n
d,d
",", 
 , 
<INS>, 
i,i
t,t
 , 
d,d
o,o
e,e
s,s
 ,<DEL>
 , 
a,a
d,d
v,v
a,a
n,n
c,c
e,e
 , 
t,t
h,h
e,e
i,i
r,r
 , 
f,f
e,e
l,l
i,i
c,c
i,i
t,t
y,y
d,d
o,o
m,n
ě,e
 , 
m,m
ě,e
š,š
ť,t
a,a
n,n
o,o
v,v
ě,ě
",",","
 , 
a,a
ž,ž
 , 
B,B
ů,ů
h,h
 , 
b,b
r,r
á,á
n,n
í,í
;,;
 , 
s,<DEL>
 ,<DEL>
d,d
c,c
e,e
r,r
o,o
u,u
 , 
s,s
p,p
í,í
",",","
 , 
h,h
o,o
s,s
p,p
o,o
d,d
á,á
ř,ř
e,e
 , 
z,z
a,a
 , 
b,b
r,r
a,a
d,d
u,u
 , 
k,k
a,a
ž,ž
d,d
 , 
d,d
e,e
n,n
 , 
p,p
o,o
 , 
o,o
b,b
ě,ě
d,d
ě,ě
 , 
t,t
a,a
h,h
á,á
 , 
—,<DEL>
 ,<DEL>
v,v
š,š
e,e
 , 
t,t
o,o
 , 
č,ě
i,i
n,n
í,í
 , 
p,p
r,r
o,o
 , 
s,s
v,v
é,é
 , 
v,v
y,y
r,r
a,a
ž,ž
e,e
n,n
í,í
.,.
 , 
K,K
a,a
ž,ž
d,d
ý,ý
 , 
d,d
e,e
n,n
 , 
a,a
b,b
y,y
 , 
m,m
u,u
 , 
t,t
o,o
p,p
i,i
l,l
i,i
 , 
l,l
á,á
z,z
e,e
ň,ň
",",<DEL>
 , 
a,a
 ,<DEL>
a,<DEL>
b,b
y,y
 , 
p,p
á,á
r,r
y,y
 , 
p,p
ř,ř
i,í
b,b
y,y
l,l
o,o
",",","
 , 
m,m
í,í
s,s
t,t
o,o
 , 
v,v
o,o
d,d
y,y
 , 
m,m
u,u
s,s
í,í
 , 
k,k
o,o
ř,ř
a,a
l,k
k,k
u,u
 , 
l,l
í,<DEL>
t,t
i,i
 , 
n,n
a,a
 , 
ž,ž
h,h
a,a
v,v
ý,ý
<INS>,1
v,e
ě,s
š,a
á,l
k, 
u,u
 , 
<INS>,U
u,I
 , 
d,d
v,i
e,e
ř,i
í, 
., 
 , 
T,T
a,a
m,m
 , 
v,J
i,I
s,s
e,ě
l,l
y,y
 , 
o,o
p,p
a,á
s,s
k,l
y,y
 , 
s,s
e,e
 , 
s,s
u,u
m,m
<INS>,l
k, 
a,a
m,m
i,i
.,<DEL>
 , 
T,T
o,o
n,n
d,d
a,a
 , 
h,h
b,b
i,i
t,t
ě,e
 , 
p,p
ř,n
i,s
s,l
k,r
o,o
č,č
i,l
l,l
 , 
a,a
 , 
n,n
a,a
h,l
á,a
z,i
e,e
l,l
 , 
j,j
e,e
 , 
d,d
o,o
 , 
c,c
h,l
l,i
e,é
b,b
n,n
í,ä
k,i
u,u
.,<DEL>
 , 
T,T
u,u
 , 
j,j
e,e
 , 
m,m
o,o
c,c
 , 
p,<DEL>
a,<DEL>
r,<DEL>
t,<DEL>
y,<DEL>
z,z
á,á
n,n
ů,ú
",",<DEL>
 , 
ř,r
e,é
k,l
l,l
 , 
j,j
e,é
š,s
t,l
ě,(
 , 
S,S
l,l
á,a
v,v
e,e
k,l
 , 
k,|
 , 
<INS>,l
<INS>,i
M,l
a,á
ď,c
a,á
r,r
<INS>,ü
ů,i
m,m
 , 
a,&
 , 
